<TYPE>=CHROM
<LAB NAME>=SRI Instruments
<CLIENT>=Valued Customer
<CLIENT ID>=N2024
<COLLECTION DATE>=
<HOLDING TIME>=
<METHOD>=Syringe Injection
<LAB ID>=
<DESCRIPTION>=TCD-CHANNEL 2
<COLUMN>=RESTEK 15METER MXT-1
<CARRIER>=HELIUM AT 5 PSI
<TEMPERATURE>=
<EVENTS>=ch2.evt
<COMPONENTS>=CornellTCD.cpt
<SAMPLE>=RUN1
<OPERATOR>=
<QC BATCH>=
<CONDITIONS>=TYPE YOUR COMMENTS HERE
<DATE>= 8-17-2019
<TIME>=14:24:16
<RATE>=5Hz
<SIZE>=4800
<SAMP WEIGHT>=1.000000
<STD WEIGHT>=1.000000
<CONTROL FILENAME>=DEFAULT.CON
318,6487
824,7006
1349,7543
1885,8091
2421,8639
2950,9180
3461,9703
3941,10196
4384,10651
4781,11060
5123,11414
5409,11712
5637,11952
5804,12132
5911,12251
5958,12310
5945,12309
5876,12252
5751,12139
5578,11979
5353,11766
5080,11505
4766,11203
4409,10858
4018,10479
3599,10073
3157,9643
2702,9200
2240,8750
1777,8299
1314,7848
858,7405
414,6973
-16,6555
-425,6158
-806,5789
-1156,5451
-1474,5146
-1759,4873
-2011,4633
-2230,4426
-2417,4251
-2581,4099
-2724,3969
-2851,3854
-2969,3748
-3070,3659
-3166,3575
-3254,3499
-3331,3435
-3405,3373
-3472,3318
-3539,3263
-3608,3206
-3678,3148
-3746,3093
-3806,3045
-3857,3006
-3898,2977
-3926,2961
-3942,2957
-3945,2967
-3935,2989
-3915,3021
-3892,3056
-3867,3093
-3846,3126
-3829,3155
-3818,3179
-3814,3195
-3818,3203
-3825,3208
-3836,3209
-3851,3206
-3871,3198
-3897,3185
-3924,3170
-3952,3154
-3975,3143
-3991,3139
-4005,3137
-4010,3145
-4009,3158
-3998,3181
-3976,3215
-3945,3258
-3910,3305
-3875,3353
-3842,3398
-3813,3439
-3790,3474
-3772,3504
-3760,3528
-3753,3548
-3752,3561
-3757,3568
-3767,3570
-3776,3573
-3783,3578
-3785,3589
-3780,3606
-3770,3628
-3751,3659
-3722,3700
-3682,3752
-3640,3807
-3587,3872
-3526,3945
-3460,4023
-3380,4115
-3289,4218
-3182,4338
-3057,4475
-2913,4631
-2752,4804
-2581,4987
-2400,5180
-2219,5374
-2039,5566
-1864,5753
-1694,5935
-1532,6109
-1377,6276
-1226,6440
-1081,6597
-935,6755
-791,6911
-648,7066
-508,7218
-377,7362
-252,7499
-138,7625
-29,7746
78,7865
177,7976
275,8087
362,8186
440,8276
509,8357
571,8431
632,8504
691,8576
752,8649
816,8725
881,8802
947,8880
1011,8956
1073,9031
1136,9106
1197,9179
1260,9254
1324,9330
1386,9404
1451,9482
1518,9561
1591,9646
1673,9740
1762,9841
1864,9955
1983,10087
2115,10231
2257,10385
2397,10537
2531,10683
2656,10821
2770,10947
2875,11064
2973,11174
3060,11273
3139,11364
3213,11451
3278,11528
3338,11600
3389,11663
3431,11717
3462,11760
3487,11798
3507,11830
3523,11858
3535,11882
3547,11906
3560,11931
3575,11959
3597,11993
3622,12030
3657,12077
3699,12131
3749,12193
3801,12258
3853,12322
3904,12385
3955,12448
4005,12510
4054,12571
4098,12628
4136,12678
4164,12718
4186,12752
4201,12779
4204,12794
